column_name,description,type,null_count,null_pct,unique_count
org_addr_city,Cleaned city name,character,2779,0.08,39494
org_addr_city_raw,Original city name from source file,character,2779,0.08,39896
org_addr_full,Complete formatted address string,character,1479858,40.29,1829114
org_addr_has_special_chars,TRUE if address contains unusual special characters,character,1479858,40.29,2
org_addr_is_missing,TRUE if street address is missing or empty,character,1479858,40.29,2
org_addr_is_po_box,TRUE if address is a P.O. Box,character,1479858,40.29,2
org_addr_is_rural_route,TRUE if address is a rural route,character,1479858,40.29,2
org_addr_missing_number,TRUE if street address lacks a street number,character,1479858,40.29,2
org_addr_state,Two-letter state abbreviation,character,6987,0.19,62
org_addr_state_invalid,TRUE if state code is not a valid US state/territory,character,0,0,2
org_addr_state_raw,Original state code from source file,character,4544,0.12,64
org_addr_street,Standardized street address with USPS abbreviations,character,1479864,40.29,1486405
org_addr_street_raw,Original street address from source file,character,1479864,40.29,1498021
org_addr_zip,Full ZIP code (5 or 9 digits),character,127077,3.46,1664904
org_addr_zip4,4-digit ZIP code extension (if available),character,1479858,40.29,9987
org_addr_zip5,5-digit ZIP code,character,127077,3.46,40071
org_addr_zip_raw,Original ZIP code from source file,character,2,0,1668211
org_legal_suffix,Legal entity suffix extracted from name (Inc Corp LLC Foundation etc.),character,2335548,63.59,11
org_name_display,Title-cased organization name suitable for display purposes,character,3,0,2736737
org_name_join,Standardized name for matching and joining (uppercase punctuation removed),character,3,0,2737816
org_name_raw,Original organization name exactly as it appears in the source file,character,0,0,2800504
org_parent_name,Parent organization name if this is a subordinate/chapter organization. This is based on Group Exemption Numbers and the presence of acronyms indicating a parent organization in org_name_raw,character,3559682,96.92,93
organization_code,Code for type of organization (corporation trust etc.),character,1479858,40.29,7
organization_code_definition,Description of organization type,character,1479858,40.29,7
pf_filing_requirement_code,Private foundation filing requirement code,character,1479858,40.29,4
pf_filing_requirement_code_definition,Description of private foundation filing requirement,character,1479858,40.29,2
revenue_amount,Total revenue in dollars (can be negative),character,1752819,47.72,481448
ruling_date,Date of IRS ruling granting exempt status. If missing assigned 1900-01-01,character,193984,5.28,1850
ruling_date_is_missing,TRUE if ruling date is missing or invalid,character,193984,5.28,2
ruling_date_ym_str,Ruling date as YYYYMM string,character,193986,5.28,2213
status_code,IRS determination status code (01-99),character,1479858,40.29,4
status_code_definition,Description of exempt status,character,1479858,40.29,4
subsection_code,IRS subsection code (e.g. 03 for 501(c)(3) 04 for 501(c)(4)),character,187273,5.1,39
tax_period_is_missing,TRUE if tax period is missing,character,497305,13.54,2
tax_period_ym_str,Tax period end date as YYYYMM string.,character,1421197,38.69,472
tax_period_ymd,Tax period end date in YYYY-MM-DD format. If missing assigned 1900-01-01,character,497305,13.54,473
