column_name,description,type,null_count,null_pct,unique_count
accounting_period,Month when organizations accounting period ends (01-12),character,278803,7.59,13
activity_code,Three 3-digit activity codes concatenated (9 characters total),character,1479858,40.29,30371
activity_code_categories,Semicolon-separated activity categories,character,2903794,79.06,4851
activity_code_definitions,Semicolon-separated descriptions of activity codes,character,2903794,79.06,30063
affiliation_code,Code indicating relationship to parent organization (1-9),character,1479858,40.29,8
affiliation_code_definition,Description of affiliation relationship,character,1479858,40.29,8
all_classifications_string,Semicolon-separated list of all classification descriptions that apply to the classification_code field,character,1480785,40.32,339
asset_amount,Total assets in dollars (most recent return),character,586825,15.98,574530
asset_code,Asset amount range code (0-9),character,1479858,40.29,10
asset_code_definition,Description of asset range (e.g. $100000 to $499999),character,1479858,40.29,10
bmf_source,Pipeline that produced the surviving record (current=monthly IRS BMF / legacy=501CX-NONPROFIT-PX),character,0,0,2
bmf_vintage_ym,Year-month (YYYY-MM) of the vintage from which the surviving record was drawn (= last_vintage_ym for this EIN),character,0,0,113
bmf_vintages_observed,Count of BMF vintages in which this EIN appeared (1 = appears only in the surviving vintage),numeric,0,0,213
classification_code,IRS classification code indicating organization type within subsection,character,1479858,40.29,257
combined_first_vintage_ym,,character,0,0,114
combined_last_vintage_ym,,character,0,0,113
dba_name,Cleaned Doing Business As name,character,2751499,74.91,789685
dba_name_raw,Original secondary/DBA name from source file,character,2751499,74.91,789688
deductibility_code,Code indicating deductibility status of contributions (1-4),character,1479858,40.29,4
deductibility_code_definition,Description of contribution deductibility,character,1479858,40.29,4
ein,Employer Identification Number formatted as XX-XXXXXXX,character,0,0,3672933
ein_raw,Original 9-digit EIN value from source file without formatting,character,0,0,3672933
exempt_organization_type,Human-readable exempt organization type based on subsection,character,187530,5.11,37
filing_requirement_code,Code indicating required annual return form (0-6),character,630210,17.16,20
filing_requirement_code_definition,Description of filing requirement (990 990-EZ 990-N etc.),character,1166221,31.75,9
first_vintage_ym,Earliest BMF vintage (YYYY-MM) in which this EIN was observed across all stacked sources,character,0,0,114
first_year_in_bmf,Calendar year (YYYY) of first_vintage_ym; convenience integer for filtering,integer,0,0,31
foundation_code,Foundation status code (00-99) per IRS determination,character,268099,7.3,22
foundation_code_definition,Description of foundation/public charity status,character,268150,7.3,20
geo_addr_type,Geocoder match precision level (PointAddress StreetAddress Postal etc.),character,1479858,40.29,13
geo_city,City name from geocoder,character,1479858,40.29,17532
geo_country,Country code from geocoder (e.g. USA) for identifying foreign addresses,character,1479858,40.29,7
geo_county,County name from geocoder,character,1479858,40.29,2329
geo_distance,Distance in meters between input address and matched location (0 = exact),character,1479858,40.29,1
geo_is_geocoded,TRUE if latitude and longitude are non-NA,logical,1479858,40.29,1
geo_lat,WGS 84 latitude (EPSG 4326) from geocoder,numeric,1479858,40.29,1309634
geo_lon,WGS 84 longitude (EPSG 4326) from geocoder,numeric,1479858,40.29,1337346
geo_match_addr,Address the geocoder actually matched to,character,1479858,40.29,1716043
geo_match_type,Geocoder match type (A=address match) distinguishing rooftop from interpolated,character,1479858,40.29,1
geo_metro_area,Metropolitan area name from geocoder (may be blank),character,1479858,40.29,561
geo_neighborhood,ESRI-defined neighborhood from geocoder,character,1479858,40.29,7502
geo_postal,ZIP code resolved by geocoder for cross-referencing with org_addr_zip5,character,1479858,40.29,36823
geo_postal_ext,ZIP+4 extension resolved by geocoder,character,1479858,40.29,10071
geo_score,Geocoder match confidence score (1-100),character,1479858,40.29,1683
geo_state,State name from geocoder,character,1479858,40.29,57
geo_state_abbr,State abbreviation from geocoder,character,1479858,40.29,57
geo_status,Geocoder match status (M=Match T=Tied U=Unmatched),character,1479858,40.29,3
group_exemption_is_member,Boolean indicating if organization is a member of a group filing,character,871956,23.74,2
group_exemption_number,Cleaned group exemption number (GEN),character,871987,23.74,4917
group_exemption_number_raw,Original group exemption number from source file,character,871987,23.74,4917
in_care_of_name_clean,Cleaned ICO name with standardized formatting,character,2260750,61.55,1142753
in_care_of_name_provided,Boolean indicating whether an ICO name was provided,character,1479858,40.29,2
in_care_of_name_raw,Original In Care Of field from source file,character,2257816,61.47,1142840
income_amount,Total income in dollars (can be negative),character,586825,15.98,552687
income_code,Income amount range code (0-9),character,1479858,40.29,10
income_code_definition,Description of income range,character,1479858,40.29,10
last_vintage_ym,Latest BMF vintage (YYYY-MM) in which this EIN was observed; matches the vintage providing the row contents,character,0,0,113
last_year_in_bmf,Calendar year (YYYY) of last_vintage_ym; convenience integer for filtering,integer,0,0,31
naics_code,North American Industry Classification System code derived from NTEE. UNDEFINED if source NTEE code is missing/empty or invalid,character,0,0,97
ntee_code_clean,Standardized 3-character NTEE code. UNDEFINED if source code is missing/empty; INVALID if source code is malformed (no leading letter or not in lookup table),character,0,0,642
ntee_code_definition,Full description of NTEE classification. UNDEFINED if source NTEE code is missing/empty or invalid,character,0,0,479
ntee_code_major_group,NTEE major group letter (A-Z) indicating broad category. Unknown for Z-prefix codes (unclassifiable organizations per lookup table); UNDEFINED if source NTEE code is missing/empty or invalid,character,0,0,27
ntee_code_raw,Original NTEE code from source file (1-4 characters),character,643142,17.51,6598
ntee_common_code,Common code suffix for 4-character NTEE codes (e.g. 01-99). Undefined (title case) if the source code is not a 4-character code with a recognized common suffix,character,0,0,8
ntee_common_code_definition,Description of common code suffix,character,0,0,8
nteev2,Full NTEEv2 code in SUBSECTOR-CODE-TYPE format,character,0,0,1846
nteev2_code,NTEEv2 code portion (3 characters),character,0,0,554
nteev2_org_type,NTEEv2 organization type (RG=Regular AA=Alliance etc.),character,0,0,8
nteev2_subsector,NTEEv2 subsector code (e.g. UNI HOS ART ENV),character,0,0,12
nteev2_subsector_definition,Human-readable NTEEv2 subsector name (e.g. Universities Hospitals Arts Culture and Humanities),character,240837,6.56,12
