"state","county","fips","countytype","countylabel","cbsa","cbsatitle","cbsatype","cbsalabel","cbsafipslabel","csa","csatitle","csalabel","csafipslabel"
"SD","Brown County","46013","central","Brown County, SD (central): 46013","10100","Aberdeen, SD","micro","Aberdeen, SD (micro): 10100","c('46013','46045')","","","",""
"SD","Edmunds County","46045","outlying","Edmunds County, SD (outlying): 46045","10100","Aberdeen, SD","micro","Aberdeen, SD (micro): 10100","c('46013','46045')","","","",""
"WA","Grays Harbor County","53027","central","Grays Harbor County, WA (central): 53027","10140","Aberdeen, WA","micro","Aberdeen, WA (micro): 10140","c('53027')","","","",""
"TX","Callahan County","48059","outlying","Callahan County, TX (outlying): 48059","10180","Abilene, TX","metro","Abilene, TX (metro): 10180","c('48059','48253','48441')","101","Abilene-Sweetwater, TX","Abilene-Sweetwater, TX: 101","c('48059','48253','48441','48353')"
"TX","Jones County","48253","outlying","Jones County, TX (outlying): 48253","10180","Abilene, TX","metro","Abilene, TX (metro): 10180","c('48059','48253','48441')","101","Abilene-Sweetwater, TX","Abilene-Sweetwater, TX: 101","c('48059','48253','48441','48353')"
"TX","Taylor County","48441","central","Taylor County, TX (central): 48441","10180","Abilene, TX","metro","Abilene, TX (metro): 10180","c('48059','48253','48441')","101","Abilene-Sweetwater, TX","Abilene-Sweetwater, TX: 101","c('48059','48253','48441','48353')"
"OK","Pontotoc County","40123","central","Pontotoc County, OK (central): 40123","10220","Ada, OK","micro","Ada, OK (micro): 10220","c('40123')","","","",""
"MI","Lenawee County","26091","central","Lenawee County, MI (central): 26091","10300","Adrian, MI","micro","Adrian, MI (micro): 10300","c('26091')","220","Detroit-Warren-Ann Arbor, MI","Detroit-Warren-Ann Arbor, MI: 220","c('26091','26161','26087','26093','26099','26125','26147','26163','26049','26115')"
"PR","Aguada Municipio","72003","central","Aguada Municipio, PR (central): 72003","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"PR","Aguadilla Municipio","72005","central","Aguadilla Municipio, PR (central): 72005","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"PR","Añasco Municipio","72011","central","Añasco Municipio, PR (central): 72011","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"PR","Isabela Municipio","72071","central","Isabela Municipio, PR (central): 72071","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"PR","Moca Municipio","72099","central","Moca Municipio, PR (central): 72099","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"PR","Rincón Municipio","72117","central","Rincón Municipio, PR (central): 72117","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"PR","San Sebastián Municipio","72131","central","San Sebastián Municipio, PR (central): 72131","10380","Aguadilla, PR","metro","Aguadilla, PR (metro): 10380","c('72003','72005','72011','72071','72099','72117','72131')","364","Mayagüez-Aguadilla, PR","Mayagüez-Aguadilla, PR: 364","c('72003','72005','72011','72071','72099','72117','72131','72023','72067','72079','72097','72121','72125')"
"OH","Portage County","39133","central","Portage County, OH (central): 39133","10420","Akron, OH","metro","Akron, OH (metro): 10420","c('39133','39153')","184","Cleveland-Akron-Canton, OH","Cleveland-Akron-Canton, OH: 184","c('39133','39153','39019','39151','39007','39035','39055','39085','39093','39103','39031','39143','39157','39077','39043','39123','39169')"
