"state","county","fips","countytype","countylabel","cbsa","cbsatitle","cbsatype","cbsalabel","cbsafipslabel","csa","csatitle","csalabel","csafipslabel"
"OH","Summit County","39153","central","Summit County, OH (central): 39153","10420","Akron, OH","metro","Akron, OH (metro): 10420","c('39133','39153')","184","Cleveland-Akron-Canton, OH","Cleveland-Akron-Canton, OH: 184","c('39133','39153','39019','39151','39007','39035','39055','39085','39093','39103','39031','39143','39157','39077','39043','39123','39169')"
"NM","Otero County","35035","central","Otero County, NM (central): 35035","10460","Alamogordo, NM","micro","Alamogordo, NM (micro): 10460","c('35035')","","","",""
"CO","Alamosa County","08003","central","Alamosa County, CO (central): 08003","10480","Alamosa, CO","micro","Alamosa, CO (micro): 10480","c('08003','08021','08023')","","","",""
"CO","Conejos County","08021","outlying","Conejos County, CO (outlying): 08021","10480","Alamosa, CO","micro","Alamosa, CO (micro): 10480","c('08003','08021','08023')","","","",""
"CO","Costilla County","08023","outlying","Costilla County, CO (outlying): 08023","10480","Alamosa, CO","micro","Alamosa, CO (micro): 10480","c('08003','08021','08023')","","","",""
"GA","Dougherty County","13095","central","Dougherty County, GA (central): 13095","10500","Albany, GA","metro","Albany, GA (metro): 10500","c('13095','13177','13273','13321')","","","",""
"GA","Lee County","13177","central","Lee County, GA (central): 13177","10500","Albany, GA","metro","Albany, GA (metro): 10500","c('13095','13177','13273','13321')","","","",""
"GA","Terrell County","13273","outlying","Terrell County, GA (outlying): 13273","10500","Albany, GA","metro","Albany, GA (metro): 10500","c('13095','13177','13273','13321')","","","",""
"GA","Worth County","13321","outlying","Worth County, GA (outlying): 13321","10500","Albany, GA","metro","Albany, GA (metro): 10500","c('13095','13177','13273','13321')","","","",""
"OR","Linn County","41043","central","Linn County, OR (central): 41043","10540","Albany, OR","metro","Albany, OR (metro): 10540","c('41043')","440","Portland-Vancouver-Salem, OR-WA","Portland-Vancouver-Salem, OR-WA: 440","c('41043','41003','53015','41005','41009','41051','41067','41071','53011','53059','41047','41053')"
"NY","Albany County","36001","central","Albany County, NY (central): 36001","10580","Albany-Schenectady-Troy, NY","metro","Albany-Schenectady-Troy, NY (metro): 10580","c('36001','36083','36091','36093','36095')","104","Albany-Schenectady, NY","Albany-Schenectady, NY: 104","c('36001','36083','36091','36093','36095','36057','36113','36115','36035','36021')"
"NY","Rensselaer County","36083","central","Rensselaer County, NY (central): 36083","10580","Albany-Schenectady-Troy, NY","metro","Albany-Schenectady-Troy, NY (metro): 10580","c('36001','36083','36091','36093','36095')","104","Albany-Schenectady, NY","Albany-Schenectady, NY: 104","c('36001','36083','36091','36093','36095','36057','36113','36115','36035','36021')"
"NY","Saratoga County","36091","outlying","Saratoga County, NY (outlying): 36091","10580","Albany-Schenectady-Troy, NY","metro","Albany-Schenectady-Troy, NY (metro): 10580","c('36001','36083','36091','36093','36095')","104","Albany-Schenectady, NY","Albany-Schenectady, NY: 104","c('36001','36083','36091','36093','36095','36057','36113','36115','36035','36021')"
"NY","Schenectady County","36093","central","Schenectady County, NY (central): 36093","10580","Albany-Schenectady-Troy, NY","metro","Albany-Schenectady-Troy, NY (metro): 10580","c('36001','36083','36091','36093','36095')","104","Albany-Schenectady, NY","Albany-Schenectady, NY: 104","c('36001','36083','36091','36093','36095','36057','36113','36115','36035','36021')"
"NY","Schoharie County","36095","outlying","Schoharie County, NY (outlying): 36095","10580","Albany-Schenectady-Troy, NY","metro","Albany-Schenectady-Troy, NY (metro): 10580","c('36001','36083','36091','36093','36095')","104","Albany-Schenectady, NY","Albany-Schenectady, NY: 104","c('36001','36083','36091','36093','36095','36057','36113','36115','36035','36021')"
"NC","Stanly County","37167","central","Stanly County, NC (central): 37167","10620","Albemarle, NC","micro","Albemarle, NC (micro): 10620","c('37167')","172","Charlotte-Concord, NC-SC","Charlotte-Concord, NC-SC: 172","c('37167','37007','37025','37071','37097','37109','37119','37159','37179','45023','45057','45091','37003','37023','37027','37035','37111','37045')"
"MN","Freeborn County","27047","central","Freeborn County, MN (central): 27047","10660","Albert Lea, MN","micro","Albert Lea, MN (micro): 10660","c('27047')","","","",""
"AL","Marshall County","01095","central","Marshall County, AL (central): 01095","10700","Albertville, AL","micro","Albertville, AL (micro): 10700","c('01095')","290","Huntsville-Decatur-Albertville, AL-TN","Huntsville-Decatur-Albertville, AL-TN: 290","c('01095','01079','01103','47103','01049','01083','01089')"
"NM","Bernalillo County","35001","central","Bernalillo County, NM (central): 35001","10740","Albuquerque, NM","metro","Albuquerque, NM (metro): 10740","c('35001','35043','35057','35061')","105","Albuquerque-Santa Fe-Los Alamos, NM","Albuquerque-Santa Fe-Los Alamos, NM: 105","c('35001','35043','35057','35061','35039','35033','35047','35028','35049')"
"NM","Sandoval County","35043","central","Sandoval County, NM (central): 35043","10740","Albuquerque, NM","metro","Albuquerque, NM (metro): 10740","c('35001','35043','35057','35061')","105","Albuquerque-Santa Fe-Los Alamos, NM","Albuquerque-Santa Fe-Los Alamos, NM: 105","c('35001','35043','35057','35061','35039','35033','35047','35028','35049')"
"NM","Torrance County","35057","outlying","Torrance County, NM (outlying): 35057","10740","Albuquerque, NM","metro","Albuquerque, NM (metro): 10740","c('35001','35043','35057','35061')","105","Albuquerque-Santa Fe-Los Alamos, NM","Albuquerque-Santa Fe-Los Alamos, NM: 105","c('35001','35043','35057','35061','35039','35033','35047','35028','35049')"
"NM","Valencia County","35061","outlying","Valencia County, NM (outlying): 35061","10740","Albuquerque, NM","metro","Albuquerque, NM (metro): 10740","c('35001','35043','35057','35061')","105","Albuquerque-Santa Fe-Los Alamos, NM","Albuquerque-Santa Fe-Los Alamos, NM: 105","c('35001','35043','35057','35061','35039','35033','35047','35028','35049')"
"AL","Tallapoosa County","01123","central","Tallapoosa County, AL (central): 01123","10760","Alexander City, AL","micro","Alexander City, AL (micro): 10760","c('01123')","194","Columbus-Auburn-Opelika, GA-AL","Columbus-Auburn-Opelika, GA-AL: 194","c('01123','01081','01087','01113','13053','13145','13197','13215','13259','13263')"
"LA","Grant Parish","22043","outlying","Grant Parish, LA (outlying): 22043","10780","Alexandria, LA","metro","Alexandria, LA (metro): 10780","c('22043','22079')","","","",""
"LA","Rapides Parish","22079","central","Rapides Parish, LA (central): 22079","10780","Alexandria, LA","metro","Alexandria, LA (metro): 10780","c('22043','22079')","","","",""
"MN","Douglas County","27041","central","Douglas County, MN (central): 27041","10820","Alexandria, MN","micro","Alexandria, MN (micro): 10820","c('27041')","","","",""
"TX","Brooks County","48047","outlying","Brooks County, TX (outlying): 48047","10860","Alice, TX","micro","Alice, TX (micro): 10860","c('48047','48249')","204","Corpus Christi-Kingsville-Alice, TX","Corpus Christi-Kingsville-Alice, TX: 204","c('48047','48249','48007','48355','48409','48273')"
"TX","Jim Wells County","48249","central","Jim Wells County, TX (central): 48249","10860","Alice, TX","micro","Alice, TX (micro): 10860","c('48047','48249')","204","Corpus Christi-Kingsville-Alice, TX","Corpus Christi-Kingsville-Alice, TX: 204","c('48047','48249','48007','48355','48409','48273')"
"NJ","Warren County","34041","central","Warren County, NJ (central): 34041","10900","Allentown-Bethlehem-Easton, PA-NJ","metro","Allentown-Bethlehem-Easton, PA-NJ (metro): 10900","c('34041','42025','42077','42095')","106","Allentown-Bethlehem-East Stroudsburg, PA-NJ","Allentown-Bethlehem-East Stroudsburg, PA-NJ: 106","c('34041','42025','42077','42095','42089')"
"PA","Carbon County","42025","outlying","Carbon County, PA (outlying): 42025","10900","Allentown-Bethlehem-Easton, PA-NJ","metro","Allentown-Bethlehem-Easton, PA-NJ (metro): 10900","c('34041','42025','42077','42095')","106","Allentown-Bethlehem-East Stroudsburg, PA-NJ","Allentown-Bethlehem-East Stroudsburg, PA-NJ: 106","c('34041','42025','42077','42095','42089')"
"PA","Lehigh County","42077","central","Lehigh County, PA (central): 42077","10900","Allentown-Bethlehem-Easton, PA-NJ","metro","Allentown-Bethlehem-Easton, PA-NJ (metro): 10900","c('34041','42025','42077','42095')","106","Allentown-Bethlehem-East Stroudsburg, PA-NJ","Allentown-Bethlehem-East Stroudsburg, PA-NJ: 106","c('34041','42025','42077','42095','42089')"
"PA","Northampton County","42095","central","Northampton County, PA (central): 42095","10900","Allentown-Bethlehem-Easton, PA-NJ","metro","Allentown-Bethlehem-Easton, PA-NJ (metro): 10900","c('34041','42025','42077','42095')","106","Allentown-Bethlehem-East Stroudsburg, PA-NJ","Allentown-Bethlehem-East Stroudsburg, PA-NJ: 106","c('34041','42025','42077','42095','42089')"
"MI","Gratiot County","26057","central","Gratiot County, MI (central): 26057","10940","Alma, MI","micro","Alma, MI (micro): 10940","c('26057')","394","Mount Pleasant-Alma, MI","Mount Pleasant-Alma, MI: 394","c('26057','26073')"
"MI","Alpena County","26007","central","Alpena County, MI (central): 26007","10980","Alpena, MI","micro","Alpena, MI (micro): 10980","c('26007')","","","",""
"PA","Blair County","42013","central","Blair County, PA (central): 42013","11020","Altoona, PA","metro","Altoona, PA (metro): 11020","c('42013')","107","Altoona-Huntingdon, PA","Altoona-Huntingdon, PA: 107","c('42013','42061')"
"OK","Jackson County","40065","central","Jackson County, OK (central): 40065","11060","Altus, OK","micro","Altus, OK (micro): 11060","c('40065')","","","",""
"TX","Armstrong County","48011","outlying","Armstrong County, TX (outlying): 48011","11100","Amarillo, TX","metro","Amarillo, TX (metro): 11100","c('48011','48065','48359','48375','48381')","108","Amarillo-Borger, TX","Amarillo-Borger, TX: 108","c('48011','48065','48359','48375','48381','48233')"
"TX","Carson County","48065","outlying","Carson County, TX (outlying): 48065","11100","Amarillo, TX","metro","Amarillo, TX (metro): 11100","c('48011','48065','48359','48375','48381')","108","Amarillo-Borger, TX","Amarillo-Borger, TX: 108","c('48011','48065','48359','48375','48381','48233')"
"TX","Oldham County","48359","outlying","Oldham County, TX (outlying): 48359","11100","Amarillo, TX","metro","Amarillo, TX (metro): 11100","c('48011','48065','48359','48375','48381')","108","Amarillo-Borger, TX","Amarillo-Borger, TX: 108","c('48011','48065','48359','48375','48381','48233')"
"TX","Potter County","48375","central","Potter County, TX (central): 48375","11100","Amarillo, TX","metro","Amarillo, TX (metro): 11100","c('48011','48065','48359','48375','48381')","108","Amarillo-Borger, TX","Amarillo-Borger, TX: 108","c('48011','48065','48359','48375','48381','48233')"
"TX","Randall County","48381","central","Randall County, TX (central): 48381","11100","Amarillo, TX","metro","Amarillo, TX (metro): 11100","c('48011','48065','48359','48375','48381')","108","Amarillo-Borger, TX","Amarillo-Borger, TX: 108","c('48011','48065','48359','48375','48381','48233')"
"GA","Schley County","13249","outlying","Schley County, GA (outlying): 13249","11140","Americus, GA","micro","Americus, GA (micro): 11140","c('13249','13261')","","","",""
"GA","Sumter County","13261","central","Sumter County, GA (central): 13261","11140","Americus, GA","micro","Americus, GA (micro): 11140","c('13249','13261')","","","",""
"IA","Boone County","19015","outlying","Boone County, IA (outlying): 19015","11180","Ames, IA","metro","Ames, IA (metro): 11180","c('19015','19169')","218","Des Moines-West Des Moines-Ames, IA","Des Moines-West Des Moines-Ames, IA: 218","c('19015','19169','19049','19077','19099','19121','19153','19181','19123','19125')"
"IA","Story County","19169","central","Story County, IA (central): 19169","11180","Ames, IA","metro","Ames, IA (metro): 11180","c('19015','19169')","218","Des Moines-West Des Moines-Ames, IA","Des Moines-West Des Moines-Ames, IA: 218","c('19015','19169','19049','19077','19099','19121','19153','19181','19123','19125')"
"MA","Hampshire County","25015","central","Hampshire County, MA (central): 25015","11200","Amherst Town-Northampton, MA","metro","Amherst Town-Northampton, MA (metro): 11200","c('25015')","521","Springfield-Amherst Town-Northampton, MA","Springfield-Amherst Town-Northampton, MA: 521","c('25015','25011','25013')"
"NY","Montgomery County","36057","central","Montgomery County, NY (central): 36057","11220","Amsterdam, NY","micro","Amsterdam, NY (micro): 11220","c('36057')","104","Albany-Schenectady, NY","Albany-Schenectady, NY: 104","c('36001','36083','36091','36093','36095','36057','36113','36115','36035','36021')"
"AK","Anchorage Municipality","02020","central","Anchorage Municipality, AK (central): 02020","11260","Anchorage, AK","metro","Anchorage, AK (metro): 11260","c('02020','02170')","","","",""
"AK","Matanuska-Susitna Borough","02170","outlying","Matanuska-Susitna Borough, AK (outlying): 02170","11260","Anchorage, AK","metro","Anchorage, AK (metro): 11260","c('02020','02170')","","","",""
"NC","Harnett County","37085","central","Harnett County, NC (central): 37085","11360","Anderson Creek, NC","micro","Anderson Creek, NC (micro): 11360","c('37085')","450","Raleigh-Durham-Cary, NC","Raleigh-Durham-Cary, NC: 450","c('37085','37037','37063','37135','37145','37181','37069','37101','37183','37105')"
"TX","Andrews County","48003","central","Andrews County, TX (central): 48003","11380","Andrews, TX","micro","Andrews, TX (micro): 11380","c('48003')","372","Midland-Odessa-Andrews, TX","Midland-Odessa-Andrews, TX: 372","c('48003','48317','48329','48135')"
"IN","Steuben County","18151","central","Steuben County, IN (central): 18151","11420","Angola, IN","micro","Angola, IN (micro): 11420","c('18151')","258","Fort Wayne-Huntington-Auburn, IN","Fort Wayne-Huntington-Auburn, IN: 258","c('18151','18033','18001','18003','18179','18183','18069','18113')"
"MI","Washtenaw County","26161","central","Washtenaw County, MI (central): 26161","11460","Ann Arbor, MI","metro","Ann Arbor, MI (metro): 11460","c('26161')","220","Detroit-Warren-Ann Arbor, MI","Detroit-Warren-Ann Arbor, MI: 220","c('26091','26161','26087','26093','26099','26125','26147','26163','26049','26115')"
"AL","Calhoun County","01015","central","Calhoun County, AL (central): 01015","11500","Anniston-Oxford, AL","metro","Anniston-Oxford, AL (metro): 11500","c('01015')","","","",""
"WI","Calumet County","55015","central","Calumet County, WI (central): 55015","11540","Appleton, WI","metro","Appleton, WI (metro): 11540","c('55015','55087')","118","Appleton-Oshkosh-Neenah, WI","Appleton-Oshkosh-Neenah, WI: 118","c('55015','55087','55139')"
"WI","Outagamie County","55087","central","Outagamie County, WI (central): 55087","11540","Appleton, WI","metro","Appleton, WI (metro): 11540","c('55015','55087')","118","Appleton-Oshkosh-Neenah, WI","Appleton-Oshkosh-Neenah, WI: 118","c('55015','55087','55139')"
"FL","DeSoto County","12027","central","DeSoto County, FL (central): 12027","11580","Arcadia, FL","micro","Arcadia, FL (micro): 11580","c('12027')","412","North Port-Bradenton, FL","North Port-Bradenton, FL: 412","c('12027','12081','12115','12015')"
"OK","Carter County","40019","central","Carter County, OK (central): 40019","11620","Ardmore, OK","micro","Ardmore, OK (micro): 11620","c('40019')","","","",""
"PR","Arecibo Municipio","72013","central","Arecibo Municipio, PR (central): 72013","11640","Arecibo, PR","metro","Arecibo, PR (metro): 11640","c('72013','72027','72065','72115')","490","San Juan-Bayamón, PR","San Juan-Bayamón, PR: 490","c('72013','72027','72065','72115','72123','72015','72057','72109','72081','72007','72009','72017','72019','72021','72025','72029','72031','72033','72035','72037','72039','72041','72045','72047','72051','72053','72054','72061','72063','72069','72077','72085','72087','72089','72091','72095','72101','72103','72105','72107','72119','72127','72129','72135','72137','72139','72143','72145','72151','72141')"
"PR","Camuy Municipio","72027","central","Camuy Municipio, PR (central): 72027","11640","Arecibo, PR","metro","Arecibo, PR (metro): 11640","c('72013','72027','72065','72115')","490","San Juan-Bayamón, PR","San Juan-Bayamón, PR: 490","c('72013','72027','72065','72115','72123','72015','72057','72109','72081','72007','72009','72017','72019','72021','72025','72029','72031','72033','72035','72037','72039','72041','72045','72047','72051','72053','72054','72061','72063','72069','72077','72085','72087','72089','72091','72095','72101','72103','72105','72107','72119','72127','72129','72135','72137','72139','72143','72145','72151','72141')"
"PR","Hatillo Municipio","72065","central","Hatillo Municipio, PR (central): 72065","11640","Arecibo, PR","metro","Arecibo, PR (metro): 11640","c('72013','72027','72065','72115')","490","San Juan-Bayamón, PR","San Juan-Bayamón, PR: 490","c('72013','72027','72065','72115','72123','72015','72057','72109','72081','72007','72009','72017','72019','72021','72025','72029','72031','72033','72035','72037','72039','72041','72045','72047','72051','72053','72054','72061','72063','72069','72077','72085','72087','72089','72091','72095','72101','72103','72105','72107','72119','72127','72129','72135','72137','72139','72143','72145','72151','72141')"
"PR","Quebradillas Municipio","72115","central","Quebradillas Municipio, PR (central): 72115","11640","Arecibo, PR","metro","Arecibo, PR (metro): 11640","c('72013','72027','72065','72115')","490","San Juan-Bayamón, PR","San Juan-Bayamón, PR: 490","c('72013','72027','72065','72115','72123','72015','72057','72109','72081','72007','72009','72017','72019','72021','72025','72029','72031','72033','72035','72037','72039','72041','72045','72047','72051','72053','72054','72061','72063','72069','72077','72085','72087','72089','72091','72095','72101','72103','72105','72107','72119','72127','72129','72135','72137','72139','72143','72145','72151','72141')"
"AR","Clark County","05019","central","Clark County, AR (central): 05019","11660","Arkadelphia, AR","micro","Arkadelphia, AR (micro): 11660","c('05019')","","","",""
"KS","Cowley County","20035","central","Cowley County, KS (central): 20035","11680","Arkansas City-Winfield, KS","micro","Arkansas City-Winfield, KS (micro): 11680","c('20035')","556","Wichita-Arkansas City-Winfield, KS","Wichita-Arkansas City-Winfield, KS: 556","c('20035','20015','20079','20173','20191')"
"NC","Buncombe County","37021","central","Buncombe County, NC (central): 37021","11700","Asheville, NC","metro","Asheville, NC (metro): 11700","c('37021','37089','37115')","120","Asheville-Waynesville-Brevard, NC","Asheville-Waynesville-Brevard, NC: 120","c('37021','37089','37115','37175','37087')"
"NC","Henderson County","37089","central","Henderson County, NC (central): 37089","11700","Asheville, NC","metro","Asheville, NC (metro): 11700","c('37021','37089','37115')","120","Asheville-Waynesville-Brevard, NC","Asheville-Waynesville-Brevard, NC: 120","c('37021','37089','37115','37175','37087')"
"NC","Madison County","37115","outlying","Madison County, NC (outlying): 37115","11700","Asheville, NC","metro","Asheville, NC (metro): 11700","c('37021','37089','37115')","120","Asheville-Waynesville-Brevard, NC","Asheville-Waynesville-Brevard, NC: 120","c('37021','37089','37115','37175','37087')"
"OH","Ashland County","39005","central","Ashland County, OH (central): 39005","11740","Ashland, OH","micro","Ashland, OH (micro): 11740","c('39005')","360","Mansfield-Ashland-Bucyrus, OH","Mansfield-Ashland-Bucyrus, OH: 360","c('39005','39033','39139')"
"OR","Clatsop County","41007","central","Clatsop County, OR (central): 41007","11820","Astoria, OR","micro","Astoria, OR (micro): 11820","c('41007')","","","",""
"KS","Atchison County","20005","central","Atchison County, KS (central): 20005","11860","Atchison, KS","micro","Atchison, KS (micro): 11860","c('20005')","312","Kansas City-Overland Park-Kansas City, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS: 312","c('20005','20091','20103','20107','20121','20209','29013','29025','29037','29047','29049','29095','29107','29165','29177','20045','20059','20043','29003','29021','29063','29101')"
"OH","Athens County","39009","central","Athens County, OH (central): 39009","11900","Athens, OH","micro","Athens, OH (micro): 11900","c('39009')","198","Columbus-Marion-Zanesville, OH","Columbus-Marion-Zanesville, OH: 198","c('39009','39091','39059','39141','39041','39045','39049','39073','39089','39097','39117','39127','39129','39159','39101','39083','39047','39119')"
"TN","McMinn County","47107","central","McMinn County, TN (central): 47107","11940","Athens, TN","micro","Athens, TN (micro): 11940","c('47107','47121')","174","Chattanooga-Cleveland-Dalton, TN-GA-AL","Chattanooga-Cleveland-Dalton, TN-GA-AL: 174","c('47107','47121','13047','13083','13295','47065','47115','47153','47011','47139','13213','13313','01071','13055')"
"TN","Meigs County","47121","outlying","Meigs County, TN (outlying): 47121","11940","Athens, TN","micro","Athens, TN (micro): 11940","c('47107','47121')","174","Chattanooga-Cleveland-Dalton, TN-GA-AL","Chattanooga-Cleveland-Dalton, TN-GA-AL: 174","c('47107','47121','13047','13083','13295','47065','47115','47153','47011','47139','13213','13313','01071','13055')"
"TX","Henderson County","48213","central","Henderson County, TX (central): 48213","11980","Athens, TX","micro","Athens, TX (micro): 11980","c('48213')","206","Dallas-Fort Worth, TX-OK","Dallas-Fort Worth, TX-OK: 206","c('48213','48147','48349','48085','48113','48121','48139','48231','48251','48257','48367','48397','48439','48497','40013','48097','48221','48363','48181','48223')"
"GA","Clarke County","13059","central","Clarke County, GA (central): 13059","12020","Athens-Clarke County, GA","metro","Athens-Clarke County, GA (metro): 12020","c('13059','13195','13219','13221')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Madison County","13195","outlying","Madison County, GA (outlying): 13195","12020","Athens-Clarke County, GA","metro","Athens-Clarke County, GA (metro): 12020","c('13059','13195','13219','13221')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Oconee County","13219","central","Oconee County, GA (central): 13219","12020","Athens-Clarke County, GA","metro","Athens-Clarke County, GA (metro): 12020","c('13059','13195','13219','13221')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Oglethorpe County","13221","outlying","Oglethorpe County, GA (outlying): 13221","12020","Athens-Clarke County, GA","metro","Athens-Clarke County, GA (metro): 12020","c('13059','13195','13219','13221')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Barrow County","13013","outlying","Barrow County, GA (outlying): 13013","12060","Atlanta-Sandy Springs-Roswell, GA","metro","Atlanta-Sandy Springs-Roswell, GA (metro): 12060","c('13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
